model,accuracy,refusal_precision,latency_ms,cost_class
open-model-a,0.62,0.7,80,api
open-model-b,0.655,0.74,87,local
open-model-c,0.69,0.78,94,local
open-model-d,0.725,0.82,101,api
open-model-e,0.76,0.86,108,local
open-model-f,0.795,0.7,115,local
open-model-g,0.83,0.74,122,api
open-model-h,0.62,0.78,129,local
open-model-i,0.655,0.82,136,local
open-model-j,0.69,0.86,143,api
open-model-k,0.725,0.7,150,local
open-model-l,0.76,0.74,157,local
open-model-m,0.795,0.78,164,api
open-model-n,0.83,0.82,171,local
open-model-o,0.62,0.86,178,local
open-model-p,0.655,0.7,185,api
open-model-q,0.69,0.74,192,local
open-model-r,0.725,0.78,199,local
